age,education,occupation,hours-per-week,gender,salary
25,11th,Machine-op-inspct,40,Male,<=50K
38,HS-grad,Farming-fishing,50,Male,<=50K
28,Assoc-acdm,Protective-serv,40,Male,>50K
44,Some-college,Machine-op-inspct,40,Male,>50K
18,Some-college,?,30,Female,<=50K
34,10th,Other-service,30,Male,<=50K
29,HS-grad,?,40,Male,<=50K
63,Prof-school,Prof-specialty,32,Male,>50K
24,Some-college,Other-service,40,Female,<=50K
55,7th-8th,Craft-repair,10,Male,<=50K
65,HS-grad,Machine-op-inspct,40,Male,>50K
36,Bachelors,Adm-clerical,40,Male,<=50K
26,HS-grad,Adm-clerical,39,Female,<=50K
58,HS-grad,?,35,Male,<=50K
48,HS-grad,Machine-op-inspct,48,Male,>50K
43,Masters,Exec-managerial,50,Male,>50K
20,Some-college,Other-service,25,Male,<=50K
43,HS-grad,Adm-clerical,30,Female,<=50K
37,HS-grad,Machine-op-inspct,20,Female,<=50K
40,Doctorate,Prof-specialty,45,Male,>50K
34,Bachelors,Tech-support,47,Male,>50K
34,Some-college,Other-service,35,Female,<=50K
72,7th-8th,?,6,Female,<=50K
25,Bachelors,Prof-specialty,43,Male,<=50K
25,Bachelors,Prof-specialty,40,Male,<=50K
45,HS-grad,Craft-repair,90,Male,>50K
22,HS-grad,Adm-clerical,20,Male,<=50K
23,HS-grad,Machine-op-inspct,54,Male,<=50K
54,HS-grad,Craft-repair,35,Male,<=50K
32,Some-college,Prof-specialty,60,Male,<=50K
46,Some-college,Exec-managerial,38,Male,>50K
56,11th,Other-service,50,Female,<=50K
24,Bachelors,Sales,50,Male,<=50K
23,Some-college,Protective-serv,40,Male,<=50K
26,HS-grad,Exec-managerial,40,Female,<=50K
65,HS-grad,?,40,Male,<=50K
36,Bachelors,Prof-specialty,40,Male,>50K
22,5th-6th,Priv-house-serv,50,Male,<=50K
17,10th,Machine-op-inspct,40,Male,<=50K
20,HS-grad,Craft-repair,40,Male,<=50K
65,Masters,Prof-specialty,50,Male,>50K
44,Assoc-voc,Sales,45,Male,>50K
36,HS-grad,Farming-fishing,40,Male,<=50K
29,11th,Other-service,40,Male,<=50K
20,Some-college,Farming-fishing,32,Male,<=50K
28,Assoc-voc,Prof-specialty,36,Female,>50K
39,7th-8th,Craft-repair,40,Male,<=50K
54,Some-college,Transport-moving,50,Male,<=50K
52,11th,Priv-house-serv,18,Female,<=50K
56,HS-grad,Exec-managerial,50,Female,<=50K
18,Some-college,Other-service,20,Male,<=50K
39,HS-grad,Handlers-cleaners,40,Male,<=50K
21,Some-college,Other-service,24,Female,<=50K
22,HS-grad,Other-service,60,Male,>50K
38,9th,Exec-managerial,54,Male,<=50K
21,Some-college,Adm-clerical,40,Female,<=50K
63,HS-grad,Craft-repair,40,Male,<=50K
34,Bachelors,Exec-managerial,50,Male,>50K
42,HS-grad,Exec-managerial,50,Male,>50K
33,HS-grad,Handlers-cleaners,40,Male,<=50K
30,Bachelors,Exec-managerial,50,Female,<=50K
39,Some-college,Sales,40,Male,<=50K
26,Masters,Exec-managerial,40,Female,<=50K
33,HS-grad,Machine-op-inspct,40,Female,<=50K
47,HS-grad,Adm-clerical,40,Female,<=50K
41,Bachelors,Other-service,40,Female,<=50K
41,Assoc-acdm,Craft-repair,60,Male,>50K
19,Some-college,Other-service,20,Male,<=50K
46,HS-grad,Transport-moving,40,Male,<=50K
43,HS-grad,Sales,48,Male,<=50K
55,Some-college,Exec-managerial,45,Male,>50K
46,Assoc-voc,Tech-support,40,Male,<=50K
30,HS-grad,Machine-op-inspct,40,Male,<=50K
21,Some-college,Handlers-cleaners,40,Female,<=50K
46,Some-college,Craft-repair,40,Male,<=50K
17,10th,?,40,Male,<=50K
41,HS-grad,Machine-op-inspct,50,Male,<=50K
69,HS-grad,Sales,30,Male,<=50K
50,HS-grad,Transport-moving,40,Male,<=50K
20,Some-college,Adm-clerical,40,Female,<=50K
45,Some-college,Machine-op-inspct,50,Male,<=50K
23,Bachelors,Exec-managerial,40,Male,<=50K
24,Some-college,Other-service,40,Male,<=50K
44,HS-grad,Craft-repair,50,Male,>50K
31,Some-college,Craft-repair,50,Male,<=50K
43,HS-grad,Machine-op-inspct,44,Female,<=50K
20,11th,Other-service,10,Female,<=50K
55,HS-grad,Sales,56,Male,>50K
24,Some-college,Armed-Forces,40,Male,<=50K
41,Masters,?,10,Female,>50K
59,Bachelors,Exec-managerial,25,Female,<=50K
49,7th-8th,Other-service,20,Male,<=50K
33,Masters,Prof-specialty,10,Female,>50K
59,Bachelors,Adm-clerical,40,Male,<=50K
34,Masters,Other-service,40,Male,<=50K
20,HS-grad,Handlers-cleaners,40,Male,<=50K
25,Bachelors,Exec-managerial,40,Female,<=50K
49,10th,Farming-fishing,40,Male,<=50K
59,HS-grad,Transport-moving,40,Male,>50K
20,HS-grad,Adm-clerical,40,Female,<=50K
